Scenario,Total cost mln_u_e,Min total service,Min critical service,Total shortage t,PV cost mln_u_e,Hard violations,Benchmark misses,Selected investments
BASE,11679.21141579257,1.0,1.0,0,10017.725795760323,0,0,EARTH_NEW+ZBO
STRESS,12257.593484740883,0.8767481716952618,0.88754,57.43107284855796,10507.29048513694,0,2,EARTH_NEW+ZBO
